Id	Text	Label
facebook_corpus_msr_396174	If government of india don't take strict action against China then soon india will be on the loosing side sure	non-offensive
facebook_corpus_msr_422473	So now we know. The women should be under the veil. Because a dumb country is made to think that it's cool.	non-offensive
facebook_corpus_msr_341422	गद्दारो तुमसे ही तो खतरा है अबकी बार साफ हो जाओगे	non-offensive
facebook_corpus_msr_481654	Do you think markets are gonna be sideways till the results are out?	non-offensive
facebook_corpus_msr_427757	Jago Urjut Jago....Save common people fromreducing further Repo Rates .	non-offensive
facebook_corpus_msr_469689	The point of demonetization is to stop use of cash the way india doing, india have to force all the big transactions through either check or creditcard, cash should only be used for small transactions	non-offensive
facebook_corpus_msr_470520	Hi anuj and Sonia pls share ur view on aviation sector.	non-offensive
facebook_corpus_msr_477554	As the govt banned Rs500& Rs1000 notes is govt is prepared to fulfill the requirement of new Rs500 & Rs2000 notes with in 50 days...???	non-offensive
facebook_corpus_msr_440935	Excise grew by 32% in November(festive season) as against 41% in October and 36% in September. The real effect of demonetisation is still to come...	non-offensive
facebook_corpus_msr_466432	Sab log doordarshi nhi hote ARADHANA ji...10% logo me Hi ye khoobi paayi jaati h...any ways... everybody has their own perception...it's Democratic country.... otherwise time will tell everything...	non-offensive
facebook_corpus_msr_408292	India is a fake, Fragile and unatural union build by British to control the poor masses. it has become a monster for minorities and neighbors, almost 40% of Indian Land is direct under Indian Army control who commit grave human right abuses under notorious AFSPA , Kashmiris hate India for brutal illegal occupation of their land but shameless India so called upper Class Hindu elite doesnt want to Free Kashmir for their political gaines, India is the only country which is being run by Extremists apart from Israel.	non-offensive
facebook_corpus_msr_428078	This mineral rich state was completely exploited and ignored by all govts. With current dispensation hope to see this state rock with allround developments...	non-offensive
facebook_corpus_msr_456793	And sir please indicate the date when v will start normal withdrawals from bank to bring back confidence in economy	non-offensive
facebook_corpus_msr_407396	PK Movie Bhagawan Shiv Ko Aapman Kiya..   I Hate BollyWood Pornmovies ...I think BollyWood +Kiss+Bedscenes + Sex ==== Born #SunnyLeone .... Dekho Aur Siko Indian Culture Movies More in South. .... Encourage This Type of Movies #Rajamouli And #Prabhas	non-offensive
facebook_corpus_msr_496593	SIR YOU  CAN  MAKE IMPOSSIBLE MISSION TO POSSIBLE	non-offensive
facebook_corpus_msr_488495	What is ur view on the FMCG cos. Specifically HUL.	non-offensive
facebook_corpus_msr_495869	Team of Gujjus.... Ab India ki halat sudharegi. .. Kyuki Gujju Aur marwadi hi paise ki Kimat Jante hai....desh ka bhi bhala Aur khudka bhi....	non-offensive
facebook_corpus_msr_467320	Whatever it be.. The way manmohan Singh spoke with dignity and respect to the chair and pm..is the way a house should run.. Not particular party..  Or emergency word like current speaker is doing... House should run with respect	non-offensive
facebook_corpus_msr_382943	Itani garmi lag rahi thi to ye bhi nikal deti kya ho jata	non-offensive
facebook_corpus_msr_419939	We are proud of as such nessary step taken by newly elected CM within 2- 3 days	non-offensive
facebook_corpus_msr_490661	Whatss with u sonia ? Hope ur keeping well . You seem to lost weight ... ohh yeah i guess market running so up	non-offensive
facebook_corpus_msr_419656	Sad this brilliant man was rejected by people in elections. .... now those made fun get convinced  by him	non-offensive
facebook_corpus_msr_332395	Atul O Pathak you just compared a child's dress to lingerie.  Get a life dude!	non-offensive
facebook_corpus_msr_489120	Ha ha.. Nice try... Don't waste time you are getting late for terrorist recruitment rally..	non-offensive
facebook_corpus_msr_443565	Plz share view on astech life??  Bought @675,  today made 52 week high?	non-offensive
facebook_corpus_msr_477597	Those who comments against this decision, they are black money holders. IT to observe.	non-offensive
facebook_corpus_msr_443505	No point in doing this fb session without Anuj. It makes sense only with Anuj+Sonia. No other combination.	non-offensive
facebook_corpus_msr_330416	This bloody Islamic nations have nothing better to do than spreading tensions across the world...They just spoil peace in the name of religion...Having an Islamic country as neighbourhood is the biggest nightmare for a developing country	Offensive
facebook_corpus_msr_352613	ABP news is a cheap grade News channel who has some low minded idiots reporters. Why they are high lighting Kajal's beaf party news since last 2 days.They want some bastered from Gay Rakshak gang attack on Kajol? She got it in hotel and ate eat. Does she made any crime or she killed a cow? Those who are non vegitarians may have tried bear in their life time.If any hotel is serving cow meat then only punish them and enquirer about the saurce from where they got such supply.So be vegitarian and remain happy.	non-offensive
facebook_corpus_msr_332446	How could a 12 year old be seductive to someone ??	non-offensive
