Id	Text	Label
facebook_corpus_msr_396174	If government of india don't take strict action against China then soon india will be on the loosing side sure	NAG
facebook_corpus_msr_422473	So now we know. The women should be under the veil. Because a dumb country is made to think that it's cool.	NAG
facebook_corpus_msr_341422	गद्दारो तुमसे ही तो खतरा है अबकी बार साफ हो जाओगे	NAG
facebook_corpus_msr_481654	Do you think markets are gonna be sideways till the results are out?	NAG
facebook_corpus_msr_427757	Jago Urjut Jago....Save common people fromreducing further Repo Rates .	NAG
facebook_corpus_msr_469689	The point of demonetization is to stop use of cash the way india doing, india have to force all the big transactions through either check or creditcard, cash should only be used for small transactions	NAG
facebook_corpus_msr_470520	Hi anuj and Sonia pls share ur view on aviation sector.	NAG
facebook_corpus_msr_477554	As the govt banned Rs500& Rs1000 notes is govt is prepared to fulfill the requirement of new Rs500 & Rs2000 notes with in 50 days...???	NAG
facebook_corpus_msr_440935	Excise grew by 32% in November(festive season) as against 41% in October and 36% in September. The real effect of demonetisation is still to come...	NAG
facebook_corpus_msr_466432	Sab log doordarshi nhi hote ARADHANA ji...10% logo me Hi ye khoobi paayi jaati h...any ways... everybody has their own perception...it's Democratic country.... otherwise time will tell everything...	NAG
facebook_corpus_msr_408292	India is a fake, Fragile and unatural union build by British to control the poor masses. it has become a monster for minorities and neighbors, almost 40% of Indian Land is direct under Indian Army control who commit grave human right abuses under notorious AFSPA , Kashmiris hate India for brutal illegal occupation of their land but shameless India so called upper Class Hindu elite doesnt want to Free Kashmir for their political gaines, India is the only country which is being run by Extremists apart from Israel.	NAG
facebook_corpus_msr_428078	This mineral rich state was completely exploited and ignored by all govts. With current dispensation hope to see this state rock with allround developments...	NAG
facebook_corpus_msr_456793	And sir please indicate the date when v will start normal withdrawals from bank to bring back confidence in economy	NAG
facebook_corpus_msr_407396	PK Movie Bhagawan Shiv Ko Aapman Kiya..   I Hate BollyWood Pornmovies ...I think BollyWood +Kiss+Bedscenes + Sex ==== Born #SunnyLeone .... Dekho Aur Siko Indian Culture Movies More in South. .... Encourage This Type of Movies #Rajamouli And #Prabhas	NAG
facebook_corpus_msr_496593	SIR YOU  CAN  MAKE IMPOSSIBLE MISSION TO POSSIBLE	NAG
facebook_corpus_msr_488495	What is ur view on the FMCG cos. Specifically HUL.	NAG
facebook_corpus_msr_495869	Team of Gujjus.... Ab India ki halat sudharegi. .. Kyuki Gujju Aur marwadi hi paise ki Kimat Jante hai....desh ka bhi bhala Aur khudka bhi....	NAG
facebook_corpus_msr_467320	Whatever it be.. The way manmohan Singh spoke with dignity and respect to the chair and pm..is the way a house should run.. Not particular party..  Or emergency word like current speaker is doing... House should run with respect	NAG
facebook_corpus_msr_382943	Itani garmi lag rahi thi to ye bhi nikal deti kya ho jata	NAG
facebook_corpus_msr_419939	We are proud of as such nessary step taken by newly elected CM within 2- 3 days	NAG
facebook_corpus_msr_490661	Whatss with u sonia ? Hope ur keeping well . You seem to lost weight ... ohh yeah i guess market running so up	NAG
facebook_corpus_msr_419656	Sad this brilliant man was rejected by people in elections. .... now those made fun get convinced  by him	NAG
facebook_corpus_msr_332395	Atul O Pathak you just compared a child's dress to lingerie.  Get a life dude!	NAG
facebook_corpus_msr_489120	Ha ha.. Nice try... Don't waste time you are getting late for terrorist recruitment rally..	NAG
facebook_corpus_msr_443565	Plz share view on astech life??  Bought @675,  today made 52 week high?	NAG
facebook_corpus_msr_477597	Those who comments against this decision, they are black money holders. IT to observe.	NAG
facebook_corpus_msr_443505	No point in doing this fb session without Anuj. It makes sense only with Anuj+Sonia. No other combination.	NAG
facebook_corpus_msr_330416	This bloody Islamic nations have nothing better to do than spreading tensions across the world...They just spoil peace in the name of religion...Having an Islamic country as neighbourhood is the biggest nightmare for a developing country	OAG
facebook_corpus_msr_352613	ABP news is a cheap grade News channel who has some low minded idiots reporters. Why they are high lighting Kajal's beaf party news since last 2 days.They want some bastered from Gay Rakshak gang attack on Kajol? She got it in hotel and ate eat. Does she made any crime or she killed a cow? Those who are non vegitarians may have tried bear in their life time.If any hotel is serving cow meat then only punish them and enquirer about the saurce from where they got such supply.So be vegitarian and remain happy.	NAG
facebook_corpus_msr_332446	How could a 12 year old be seductive to someone ??	NAG
facebook_corpus_msr_367185	They are like all Hindus .. only words not any action .	NAG
facebook_corpus_msr_330436	Ashish jat you said kashmir dispute is a communal conflict good nice to heard you meant if Kashmiri are being killed Raped just because they belong ​to a particular community ( Muslim) and army troops are from different community ( hindu) ? and second thing is that our government itself doesn't want us Muslim to be part of Army or in other government officials we also don't Love to proceed toward gulf countries apart from motherland our families to earn breads if government given us opportunities to earn breads we would have never left motherland 😢😢😢😢	NAG
facebook_corpus_msr_470137	Do u really think India is thinking about Trump right now?	NAG
facebook_corpus_msr_483945	Will give good returns as this is festive season and demand increasing accordingly in the market. Second, dollar is also weak as compared to rupee so :)	NAG
facebook_corpus_msr_456790	Feeling so good to see small vendors using Mobile  to accept payments. ..	NAG
facebook_corpus_msr_408959	sonia should be punished with slippers and shoes... Its totally nonsense and untolerable....	NAG
facebook_corpus_msr_408314	Pakistan is a terrorist country and no body would like to play with Pakistan	NAG
facebook_corpus_msr_440954	Some years later a new PM will come and say.... We have been fooled and looted since 80 years, help me to build a better country..... LMFAO!	CAG
facebook_corpus_msr_481710	Will the jio fever protect reliance for long ? Other telecos will surely catch up soon enough ?	NAG
facebook_corpus_msr_335808	How come only Dakota take that water that to in only madya Pradesh	NAG
facebook_corpus_msr_496197	We  do  remember  RBI  Governor  Rajan's  Contribution  to  IIndian  Economy !  But  We  have  to  admit  there  are  similar  well  qualified  Economists  in  India !  When  Ala  Greenspan  retired  as  Federal  Reserve  Chairman  Peeople  thought  it  was  the  end  of  Dow  Jones  and  Wall  Street ! But  US  Economy  is  as  doing  as  well  as  it  can  considering  the  Falling  European  Union  and  also  the  UK  and  German  problems !  Why  not  make  SBI  CEO  Arubdhati  Bhattacharya  as the  RBI  Governor ? Give  her  a  Chance  and  She  will  do  a  Great  JOB  as  good  as  RAJAN !  You  do  not  have  to  be  US  qualified  for  this  JOB !!!	NAG
facebook_corpus_msr_326671	Build more water bodies in Maharashtra... Every village to have deep and wide water body	NAG
facebook_corpus_msr_471070	Some people are sending other people with their cash to stand in the Queue for exchange of notes and paying them some amount in return.	NAG
facebook_corpus_msr_403764	Yes agree that we need to have a fruitful talk on creating Kurdishthan as well	NAG
facebook_corpus_msr_325468	India should  summon the Pakistan Ambassador immediately and its obvious that Pakistan does not want Peace in the Region!!!!	NAG
facebook_corpus_msr_495868	Welcome Mr.patel Rbi till now done great job and same expecting in future.	NAG
facebook_corpus_msr_358026	Next question!  Why does the word Abd'allah contain word allah before rise of islam???	NAG
facebook_corpus_msr_466407	And the literate has spoken..... such poise and well informed Man- our former PM. 👏👏👏. And kept dignity throughout. True Indian!	NAG
facebook_corpus_msr_333788	Saala darpok. When he comes to south he comes with full security. He makes early morning visit and runs away from backdoor :D	NAG
facebook_corpus_msr_487381	launch date -iphone -june 2007 ...Phone 7 and 7 Plus..September 7, 2016-release date no pan card required ... required pan card for gold purchase above 2 lakh -what is the jewellery association doing ..are they are sleeping ...narayana narayana ...from naradha	NAG
facebook_corpus_msr_328475	What the hell is going on? Glorification of mob justice and violence by Minister is unacceptable. If someone gifted bats to beat drunk woman ,media would have gone crazy and called it sexist and patriarchy....it seems many people accept violence and sexism against men. they are very hateful and sexist people..what is hope when people in power are glorifying violence? if same minister said men can beat woman who drink, he would probably have been booked under laws by now....gender equality does not mean hatred and biased laws against men..remove all biased laws against men and if there are laws against woman, remove them as well.....	OAG
facebook_corpus_msr_333700	"My state of Assam would've never made it to the news for any other reason but wait, this story right here has got the perfect keyword to sell the NDTV's version of the ""perfect"" news-story, that keyword being ""C O W"".  Well, two men were ""lynched"" in my neighborhood just yesterday for trying to steal a motorcycle. How come that didn't make it to your headlines, eh NDTV? ;)"	NAG
facebook_corpus_msr_385738	nice together...wish u a vry vry happy anniversory to u...	NAG
facebook_corpus_msr_467382	Thought he is dumb . But glad he speaks . But Donna.'s	NAG
facebook_corpus_msr_491708	this rate cut may help tim to have is hair cut .....	NAG
facebook_corpus_msr_491322	If fed hikes rate, where will support on nifty be???	NAG
facebook_corpus_msr_429453	No one will buy better launch Nokia 1108 torch light phone at nominal rate with dual SIM !!	NAG
facebook_corpus_msr_402219	ISMAIL KHAN ,FIRST  LEARN ENGLISH  U IDIOT  PAKISTANI  ,DON'T KNOW HOW TO  PUT A SENTENCE  ,BETA HAS NOT YET STARTED, ITS A PROXY WAR BY YOUR  TERROR  EXPORT ISI AND ARMY ,THE REAL BATTLE WILL START NOW ,SO BE CAREFUL  U PIGS ,ALL REVENGE WILL BE TAKEN  BY OUR ARMY AND WILL FINISH OFF PAKISTAN FROM WORLD  MAP ,ONCE FOR ALL.	NAG
facebook_corpus_msr_443770	Its his view... and everyone is having right to express it... and yes, i agree...	NAG
facebook_corpus_msr_383482	Pay and park at high street Phoenix mall.. Full loot	NAG
