Id	Text	Label
sme_1	6-0 hahahahahaha har ek pakistani ko yeh pic dikhao :) #indvspak #जयहिन्द http://t.co/xnrxlasipi	noHate
sme_3	shoaib: wahab riaz looks like johnson. kapil dev: umesh yadav ko aap nakaar nahi sakte. #indvspak #pakvsind #wewontgiveitback	noHate
sme_4	ramraj cottons r. ashwin southindian , chennai-ian comes for bowling. #indvspak	noHate
sme_5	#indvsuae jeet gaye... :) :) cmon starsports naya ad dikhayo ab :)	noHate
sme_6	tt india 08:24 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.rega jha 6.#lovedparentsworshipday 7.congrats team india 8.giroud	noHate
sme_8	umesh strikes double !!! uae 102/10 #bleedblue exclnt bwlng by ash jaddu mohit n yadav #indvsuae	noHate
sme_9	bwahahahaha my last rt!!! 😂😂😂😂😂😂😂😂😂 #indvsuae	noHate
sme_11	puli ra vaaduuu..puli. 100 for kohli. king kohli. legend #indvspak #cwc15	noHate
sme_12	@rahulkanwal quite natural hain jee :p...#chakdeindia #indvspak #indwins , kabhi naa tootega yeh, see u on 2019 :p, :)	noHate
sme_13	what a time to be alive ? #indvsuae is not even on top 10 trend in india.	hate
sme_14	pak india pak k pehli wicket 11 runs p ger gae youns khan c dhoni b shami 6 runs new man haris shoil #indvspak	noHate
sme_15	trending india:12:10 pm ist 1. #ausvnz 2. #superbudget 3. #unionbudget2015 4. #indvsuae 5. #thedress 6. mudra bank 7. nirbhaya fund	noHate
sme_17	#indvsuae big win by india. authority stamped. come wi come. we are champions	noHate
sme_19	twitter trending results for hashtags http://t.co/3b2okiggdo محمد عساف-israe محمد عساف #israelissti #indvspak #pakvsind #ble	noHate
sme_21	rt @barun_dhoni: and ro hits 3 chawke lagataar...wohoo.:d #indvsuae	noHate
sme_22	let's stand for our national anthem! rastra geet ka sanman rastra ka sanman #teamindia #indvspak #wontgiveitback #cwc2015 #cwc15	noHate
sme_24	wickets are falling faster than updates, lol #indvsuae	hate
sme_25	ashwin grabs his first 4 wickets in odi, takes his career best. #indvsuae	noHate
sme_31	yeh gaya boom boom afridi :p yayyyyyyyyyyyy!!!wkt #indvspak	noHate
sme_33	best of luck pakistan for today #pakvsind jeetay ga bhai jeetay ga pakistan jeetay ga 🚩 #pakvind #indvspak #cwc15	noHate
sme_34	@aliaa08 @srbachchan india vs pakistan live streaminghd on http://t.co/hg59ivnh4g #indvspak #cwc15 #cwc2015	noHate
sme_36	duplicate kohli.. out ho ja yar #indvspak	noHate
sme_41	uae ki first batting se ek indian player ki wc century miss ho jayegi :3 :3 #cwc15 #indvsuae	noHate
sme_43	umesh yadav--aaj opening krke phli fifty bnaunga #indvsuae	hate
sme_44	pakistaniyo so jao, we're going to set u on fire tomorrow. kal india diwali manayegi. #indvspak	noHate
sme_45	@madam_robena abhi to start hi kiya kohli ny.... abhi dekhna.... dhammaaaaalllllllll #indvspak #pakvsind	noHate
sme_47	god saves pakisatn.. dhoni on strike:) #indvspak #cwc15	noHate
sme_50	bach gaya sala. by an inch. #indvspak	noHate
sme_52	#maukepechauka! india vs uae - india wins now turn for uae mauka mauka starsport ads. #indvssa, #indvsuae, #cwc15 http://t.co/kaimvazi2z	noHate
sme_53	uae captain to #msd bhai ek bar or batting de do. #indvsuae	hate
sme_54	walk-over ho gaya kya? #indvsuae	noHate
sme_56	grrrr....india bowling first... expected to be india batting first..scoring some 350-400... #disappointed #indvsuae	noHate
sme_58	mout or katil, theme hai pakistan ka #indvsuae	hate
sme_59	akmal is trolling pakistanis lol #indvspak	noHate
sme_60	dhoni playing stick cricket with uae..#indvsuae #cwc2015	noHate
sme_61	#indvspak shoib akhtar ab to commentary seekh le bc @pawanekbreathe @goswamigmaharaj	noHate
sme_62	@maria_masood1 ohh...then plz... 14 feb ko match jarur dekhna... #indvspak #cwc15 :-p	noHate
